target_id	SRR25223640	SRR25223641	SRR25223642	SRR25223643	SRR25223644	SRR25223645	SRR25223646	SRR25223647	SRR25223648	SRR25223649	SRR25223650	SRR25223651	SRR25223652	SRR25223653	SRR25223654	SRR25223655
KH.C1.101.v2.A.nonSL6-1	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.101.v2.R.ND3-1	301	324	355	373	283	464	772	523	315	352	281	230	108	389	492	156
KH.C1.1010.v1.A.ND1-1	19	95	112	130	39	152	202	176	48	68	40	76	22	59	81	47
KH.C1.1011.v1.A.SL1-1	1449	1264	1532	1892	2176	2798	2634	2172	1626	1212	1613	2009	2163	2100	2127	1797
KH.C1.1012.v1.A.SL1-1	719	856	614	1024	815	1142	2598	1953	1168	669	619	1056	676	1020	2288	2499
KH.C1.1013.v1.A.ND1-1	1046	2616	788	383	146	5	3	4	706	1693	1220	473	347	7	5	7
KH.C1.1014.v1.A.ND1-1	0	0	0	0	0	122	225	211	0	0	206	0	58	38	24	19
KH.C1.1014.v1.A.SL13-1	0	0	266	30	173	0	66	4	39	2	0	0	0	528	55	562
KH.C1.1014.v1.A.SL19-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1014.v1.A.SL22-1	0	0	0	0	548	372	0	481	0	0	0	0	0	1	401	0
KH.C1.1014.v1.A.SL4-1	38	0	0	0	1	329	0	0	8	0	0	0	0	89	0	0
KH.C1.1014.v1.A.SL6-1	0	0	69	0	0	0	0	0	0	0	0	0	0	5	3	271
KH.C1.1014.v1.A.SL7-1	0	76	0	0	0	0	134	0	0	0	0	0	0	0	0	0
KH.C1.1014.v1.A.nonSL10-1	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1014.v1.A.nonSL11-1	0	1	0	0	0	0	235	0	0	0	0	0	0	0	0	0
KH.C1.1014.v1.A.nonSL12-1	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0
KH.C1.1014.v1.A.nonSL14-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1014.v1.A.nonSL15-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1014.v1.A.nonSL16-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1014.v1.A.nonSL17-1	0	10	0	0	0	0	10	0	0	0	0	0	0	0	0	0
KH.C1.1014.v1.A.nonSL18-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1014.v1.A.nonSL2-1	0	0	0	0	0	313	981	215	16	0	0	0	0	0	0	39
KH.C1.1014.v1.A.nonSL20-1	0	0	62	59	166	0	0	0	0	0	0	38	0	0	36	0
KH.C1.1014.v1.A.nonSL21-1	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0
KH.C1.1014.v1.A.nonSL23-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1014.v1.A.nonSL3-1	0	0	1	0	78	0	31	123	0	0	0	0	924	445	1070	809
KH.C1.1014.v1.A.nonSL5-1	0	0	0	0	0	335	293	429	0	0	0	0	0	0	201	1
KH.C1.1014.v1.A.nonSL8-1	0	0	0	0	0	50	23	63	0	0	0	0	0	0	24	0
KH.C1.1014.v1.A.nonSL9-1	0	0	16	0	0	0	0	0	0	0	0	31	0	0	0	0
KH.C1.1014.v1.R.ND1-1	0	0	0	0	0	122	225	211	0	0	206	0	58	38	24	19
KH.C1.1015.v1.A.ND1-1	0	0	1	0	3	0	0	1	0	2	0	0	0	0	0	0
KH.C1.1016.v1.A.SL3-1	2685	2125	14054	751	451	55	76	50	1229	3011	16550	947	1128	19	17	44
KH.C1.1016.v2.A.SL2-1	2916	3505	2890	3639	2415	2593	1731	1542	4296	3186	4233	3213	1646	2202	1998	1523
KH.C1.1016.v3.A.SL2-2	48	68	72	110	49	68	73	54	49	65	56	53	40	51	27	24
KH.C1.1016.v4.A.SL1-1	4724	6258	16934	1556	462	58	0	40	2256	3964	15807	1712	1068	143	16	135
KH.C1.1017.v1.A.SL1-1	3836	4352	4017	2040	1020	272	225	181	2121	4476	4544	1613	926	383	454	321
KH.C1.1018.v1.A.ND1-1	439	90	13	1316	0	0	0	0	279	42	9	1573	0	0	0	0
KH.C1.1018.v1.A.nonSL2-1	37	0	0	0	4	1	2	1	0	0	0	0	2	0	1	0
KH.C1.1019.v1.A.SL1-1	43	116	161	35	57	18	5	8	104	60	130	55	33	30	12	9
KH.C1.102.v1.A.ND2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.102.v1.A.SL4-1	16	0	0	18	0	1	0	0	12	2	0	24	0	0	0	0
KH.C1.102.v2.A.ND1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.102.v2.A.SL7-1	0	0	0	20	0	0	0	0	0	0	0	8	0	0	0	0
KH.C1.102.v2.A.nonSL5-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.102.v2.A.nonSL6-1	0	0	0	0	0	0	0	0	14	0	0	3	0	0	0	0
KH.C1.102.v2.R.ND1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.102.v3.A.ND3-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1020.v1.A.SL1-1	322	242	525	1770	391	420	425	350	569	239	362	1689	277	300	385	330
KH.C1.1021.v1.A.ND1-1	1011	1238	985	988	1164	2578	9797	7646	1326	911	559	1176	496	2349	8783	9078
KH.C1.1022.v1.A.ND1-1	0	4	2	40	0	0	9	0	0	0	0	11	0	0	0	0
KH.C1.1022.v1.A.SL11-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1022.v1.A.SL4-1	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0
KH.C1.1022.v1.A.nonSL10-1	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1022.v1.A.nonSL12-1	181	207	68	223	0	13	21	13	197	162	90	198	15	0	11	10
KH.C1.1022.v1.A.nonSL13-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1022.v1.A.nonSL14-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1022.v1.A.nonSL15-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1022.v1.A.nonSL16-1	0	0	0	0	0	0	0	0	0	14	0	10	0	0	0	0
KH.C1.1022.v1.A.nonSL17-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1022.v1.A.nonSL18-1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
KH.C1.1022.v1.A.nonSL19-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1022.v1.A.nonSL2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1022.v1.A.nonSL20-1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
KH.C1.1022.v1.A.nonSL21-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1022.v1.A.nonSL3-1	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0
KH.C1.1022.v1.A.nonSL5-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1022.v1.A.nonSL6-1	85	0	0	0	0	0	0	0	21	0	0	36	0	0	0	0
KH.C1.1022.v1.A.nonSL7-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1022.v1.A.nonSL8-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1022.v1.A.nonSL9-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1023.v1.A.SL1-1	28431	26193	15304	23842	13271	12694	16989	13008	25809	19965	13465	23963	9442	13046	16455	14711
KH.C1.1024.v1.A.SL1-1	655	878	594	533	595	62	150	141	296	175	665	655	0	724	1350	1080
KH.C1.1024.v1.A.SL2-1	77	152	758	152	1515	2429	4104	2940	604	454	897	76	2558	1517	1960	2041
KH.C1.1025.v1.A.SL2-1	3724	3547	5312	3039	7860	8286	9260	7439	3527	2804	6001	2893	10064	7700	10140	9614
KH.C1.1025.v2.A.ND1-1	0	290	0	1	356	57	0	3	0	0	0	1	0	0	0	0
KH.C1.1025.v2.R.ND1-1	0	290	0	1	356	57	0	3	0	0	0	1	0	0	0	0
KH.C1.1026.v1.A.ND1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1026.v1.A.SL2-1	207	257	368	171	948	1187	1411	1121	242	116	293	157	515	1067	1152	1215
KH.C1.1026.v1.A.SL3-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1027.v1.A.ND1-1	137	0	122	64	158	0	31	45	0	0	116	61	110	32	31	92
KH.C1.1027.v1.A.nonSL2-1	0	0	0	0	148	0	0	0	0	0	0	0	0	0	3	0
KH.C1.1027.v1.A.nonSL3-1	7	16	5	4	16	10	2	201	7	271	10	3	1259	9	5	7
KH.C1.1027.v1.A.nonSL4-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1027.v1.A.nonSL5-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
KH.C1.1027.v1.A.nonSL6-1	86	0	0	0	38	0	0	0	0	0	0	0	0	0	67	0
KH.C1.1027.v1.A.nonSL7-1	1447	3273	2405	1034	2809	1689	1226	147	1358	2083	2433	981	3931	1441	1325	1550
KH.C1.1027.v1.A.nonSL8-1	2830	2300	3705	2425	4476	4230	5666	4858	3209	3403	4875	3126	3484	3164	5052	4855
KH.C1.1028.v1.A.ND1-1	0	0	0	6	0	16	2	11	24	12	29	20	0	9	8	9
KH.C1.1029.v1.A.SL1-1	1207	2042	2776	1302	4154	3418	2727	2108	2069	1409	2538	1619	3356	3340	2548	2387
KH.C1.103.v1.A.ND1-1	145	185	170	119	431	698	434	300	169	103	102	183	203	954	628	759
KH.C1.1030.v1.A.ND1-1	239	331	271	437	170	512	714	592	330	281	242	408	62	239	627	651
KH.C1.1031.v1.A.ND2-1	0	0	75	0	0	0	0	0	0	0	0	0	0	37	0	51
KH.C1.1031.v1.A.SL1-1	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0
KH.C1.1031.v1.A.nonSL10-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1031.v1.A.nonSL11-1	0	0	0	0	0	0	0	93	15	0	3	0	1	0	2	0
KH.C1.1031.v1.A.nonSL12-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1031.v1.A.nonSL13-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1031.v1.A.nonSL14-1	1	1	0	1	1	2	0	2	1	1	1	0	1	1	1	2
KH.C1.1031.v1.A.nonSL15-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1031.v1.A.nonSL16-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
