target_id	length	eff_length	est_counts	tpm
KH.C1.1016.v3.A.SL2-2	866	655.979	64.9334	7.43314
KH.C1.1016.v4.A.SL1-1	3837	3626.87	3964.48	82.0822
KH.C1.1017.v1.A.SL1-1	4290	4079.87	4476	82.3831
KH.C1.1018.v1.A.ND1-1	888	677.94	42	4.65213
KH.C1.1018.v1.A.nonSL2-1	837	627.011	0	0
KH.C1.1019.v1.A.SL1-1	2712	2501.87	60	1.80086
KH.C1.102.v1.A.ND2-1	1156	945.867	0	0
KH.C1.102.v1.A.SL4-1	1118	907.867	2	0.165425
KH.C1.102.v2.A.ND1-1	1399	1188.87	0	0
KH.C1.102.v2.A.SL7-1	1413	1202.87	0	0
KH.C1.102.v2.A.nonSL5-1	1281	1070.87	0	0
KH.C1.102.v2.A.nonSL6-1	1268	1057.87	0	0
KH.C1.102.v2.R.ND1-1	1399	1188.87	0	0
KH.C1.102.v3.A.ND3-1	1305	1094.87	0	0
KH.C1.1020.v1.A.SL1-1	2837	2626.87	239	6.83209
KH.C1.1021.v1.A.ND1-1	2017	1806.87	911	37.8605
KH.C1.1022.v1.A.ND1-1	506	300.926	0	0
KH.C1.1022.v1.A.SL11-1	423	223.921	0	0
KH.C1.1022.v1.A.SL4-1	434	233.882	0	0
KH.C1.1022.v1.A.nonSL10-1	351	160.916	0	0
KH.C1.1022.v1.A.nonSL12-1	324	138.598	161.79	87.6571
KH.C1.1022.v1.A.nonSL13-1	376	182.156	0	0
KH.C1.1022.v1.A.nonSL14-1	331	144.332	0	0
KH.C1.1022.v1.A.nonSL15-1	327	140.987	0	0
KH.C1.1022.v1.A.nonSL16-1	357	165.934	14.4776	6.55172
KH.C1.1022.v1.A.nonSL17-1	391	195.331	0	0
KH.C1.1022.v1.A.nonSL18-1	408	210.389	4.73271	1.6892
KH.C1.1022.v1.A.nonSL19-1	389	193.554	0	0
KH.C1.1022.v1.A.nonSL2-1	393	197.086	0	0
KH.C1.1022.v1.A.nonSL20-1	374	180.421	0	0
